t_seconds,video_time,line,direction,track_id,class,source
5.98,00:05,B_left_exit,1,roi_17,motorcycle,roi_backup
6.82,00:06,B_left_exit,1,roi_24,motorcycle,roi_backup
15.24,00:15,B_left_exit,1,roi_111,car,roi_backup
18.44,00:18,B_left_exit,1,roi_194,truck,roi_backup
22.48,00:22,B_left_exit,1,roi_252,car,roi_backup
43.03,00:43,B_left_exit,1,1186,motorcycle,main
43.92,00:43,B_left_exit,1,roi_692,motorcycle,roi_backup
75.37,01:15,C_near_approach,-1,197,car,main
79.41,01:19,C_near_approach,-1,273,car,main
81.43,01:21,C_near_approach,-1,1693,car,main
83.75,01:23,C_near_approach,-1,1706,car,main
84.42,01:24,B_left_exit,1,roi_1003,car,roi_backup
86.15,01:26,C_near_approach,-1,1740,car,main
91.28,01:31,C_near_approach,-1,1798,car,main
98.19,01:38,C_near_approach,-1,1819,truck,main
106.69,01:46,C_near_approach,1,2078,car,main
108.55,01:48,C_near_approach,1,2290,car,main
135.03,02:15,B_left_exit,-1,roi_1808,car,roi_backup
152.72,02:32,B_left_exit,1,3402,motorcycle,main
181.64,03:01,B_left_exit,1,3803,motorcycle,main
200.67,03:20,B_left_exit,1,4148,motorcycle,main
206.02,03:26,B_left_exit,1,roi_2461,motorcycle,roi_backup
212.0,03:32,B_left_exit,1,4373,car,main
236.04,03:56,B_left_exit,1,roi_2776,motorcycle,roi_backup
246.48,04:06,B_left_exit,1,4924,motorcycle,main
249.31,04:09,B_left_exit,1,4980,motorcycle,main
274.86,04:34,C_near_approach,-1,4322,car,main
278.19,04:38,C_near_approach,-1,4381,car,main
280.72,04:40,C_near_approach,-1,5242,truck,main
281.6,04:41,C_near_approach,-1,5231,truck,main
283.92,04:43,C_near_approach,-1,5291,car,main
287.45,04:47,C_near_approach,-1,5307,car,main
290.74,04:50,C_near_approach,-1,5321,car,main
292.21,04:52,C_near_approach,-1,5320,truck,main
308.08,05:08,C_near_approach,-1,5356,truck,main
320.29,05:20,B_left_exit,1,roi_3482,motorcycle,roi_backup
405.89,06:45,B_left_exit,1,roi_4055,motorcycle,roi_backup
407.03,06:47,B_left_exit,1,roi_4063,motorcycle,roi_backup
411.96,06:51,B_left_exit,1,7188,motorcycle,main
414.36,06:54,B_left_exit,1,5600,car,main
425.31,07:05,B_left_exit,1,7312,car,main
427.54,07:07,B_left_exit,1,roi_4356,car,roi_backup
434.74,07:14,B_left_exit,1,roi_4425,truck,roi_backup
444.04,07:24,B_left_exit,1,7641,motorcycle,main
474.27,07:54,C_near_approach,-1,7009,car,main
476.29,07:56,C_near_approach,-1,7221,car,main
479.03,07:59,C_near_approach,-1,8049,car,main
481.31,08:01,C_near_approach,-1,8063,car,main
485.09,08:05,C_near_approach,-1,8066,car,main
489.18,08:09,C_near_approach,-1,8084,truck,main
495.2,08:15,C_near_approach,-1,8093,car,main
508.0,08:28,C_near_approach,1,8245,car,main
519.07,08:39,C_near_approach,1,8265,car,main
606.44,10:06,B_left_exit,1,roi_5785,motorcycle,roi_backup
612.25,10:12,B_left_exit,1,roi_5926,car,roi_backup
616.67,10:16,B_left_exit,1,9531,car,main
617.05,10:17,B_left_exit,1,roi_6000,truck,roi_backup
637.98,10:37,B_left_exit,1,10006,motorcycle,main
674.53,11:14,C_near_approach,-1,9480,car,main
677.35,11:17,C_near_approach,-1,9786,car,main
680.67,11:20,C_near_approach,-1,10395,truck,main
684.21,11:24,C_near_approach,-1,10436,car,main
687.28,11:27,C_near_approach,-1,10452,car,main
689.52,11:29,C_near_approach,-1,10465,car,main
692.0,11:32,C_near_approach,-1,10476,car,main
694.27,11:34,C_near_approach,-1,10509,car,main
696.34,11:36,C_near_approach,-1,10530,car,main
717.22,11:57,B_left_exit,1,roi_6782,car,roi_backup
725.98,12:05,A_right_leg,1,roi_6924,truck,roi_backup
772.46,12:52,A_right_leg,-1,roi_7198,truck,roi_backup
798.74,13:18,B_left_exit,1,roi_7381,motorcycle,roi_backup
826.27,13:46,B_left_exit,1,roi_7579,car,roi_backup
848.08,14:08,B_left_exit,1,12489,motorcycle,main
849.64,14:09,B_left_exit,1,roi_8007,motorcycle,roi_backup
856.59,14:16,B_left_exit,1,roi_8073,motorcycle,roi_backup
876.72,14:36,C_near_approach,-1,11679,car,main
880.08,14:40,C_near_approach,-1,12796,car,main
883.24,14:43,C_near_approach,-1,12817,car,main
886.02,14:46,C_near_approach,-1,12820,car,main
894.44,14:54,C_near_approach,-1,12864,truck,main
896.63,14:56,C_near_approach,-1,12878,car,main
901.52,15:01,B_left_exit,1,12902,motorcycle,main
910.4,15:10,B_left_exit,1,roi_8440,car,roi_backup
931.66,15:31,B_left_exit,-1,13454,motorcycle,main
937.52,15:37,A_right_leg,-1,roi_8804,truck,roi_backup
940.25,15:40,B_left_exit,1,roi_8851,truck,roi_backup
961.22,16:01,B_left_exit,1,roi_9078,motorcycle,roi_backup
964.51,16:04,B_left_exit,-1,roi_9118,motorcycle,roi_backup
1008.17,16:48,B_left_exit,1,roi_9488,motorcycle,roi_backup
1015.92,16:55,B_left_exit,1,roi_9653,car,roi_backup
1074.57,17:54,C_near_approach,-1,14279,car,main
1077.77,17:57,C_near_approach,-1,14569,car,main
1081.77,18:01,C_near_approach,-1,15245,car,main
1084.76,18:04,C_near_approach,-1,15253,car,main
1086.61,18:06,C_near_approach,-1,15258,car,main
1088.21,18:08,C_near_approach,-1,15278,car,main
1090.36,18:10,C_near_approach,-1,15280,car,main
1093.52,18:13,C_near_approach,-1,15292,car,main
1100.76,18:20,B_left_exit,1,15303,motorcycle,main
1110.91,18:30,B_left_exit,1,roi_10391,car,roi_backup
1111.96,18:31,C_near_approach,1,15650,car,main
1138.95,18:58,C_near_approach,1,15952,car,main
1170.69,19:30,A_right_leg,-1,roi_11116,truck,roi_backup
1174.44,19:34,B_left_exit,1,16714,motorcycle,main
1176.25,19:36,B_left_exit,1,16753,motorcycle,main
1176.34,19:36,B_left_exit,1,16758,motorcycle,main
1192.04,19:52,C_near_approach,-1,16930,car,main
