trajectory_cluster,count,avg_first_x,avg_first_y,avg_last_x,avg_last_y,avg_path_distance_px,avg_straight_distance_px
-1,13706,696.72,276.72,694.77,275.96,17.11,8.6
0,2073,735.13,306.55,540.11,305.03,273.58,237.78
1,38,1174.21,718.85,25.15,328.79,1304.6,1213.55
2,26,642.02,718.6,16.24,381.04,816.97,711.48
3,3,1163.39,716.65,1102.59,713.17,60.94,60.89
4,191,90.2,488.97,1208.0,518.97,1124.8,1118.31
5,12,17.64,393.88,939.55,155.4,1217.9,952.44
6,8,36.5,508.48,210.94,517.12,185.41,179.18
7,5,913.07,527.71,1206.14,523.02,306.46,293.42
8,32,1259.36,399.0,59.8,689.73,1256.51,1234.77
9,5,450.33,717.49,23.07,709.37,433.07,427.44
10,3,100.1,677.17,1159.55,719.79,1062.82,1060.53
11,3,501.56,231.35,30.12,514.56,922.63,550.13
12,3,20.86,400.6,568.17,396.05,555.55,547.33
