t_seconds,video_time,line,direction,track_id,class
8.34,00:08,B_left_exit,1,141,motorcycle
20.51,00:20,B_left_exit,1,266,truck
43.03,00:43,B_left_exit,1,1186,motorcycle
75.37,01:15,C_near_approach,-1,197,car
79.41,01:19,C_near_approach,-1,273,car
81.43,01:21,C_near_approach,-1,1693,car
83.75,01:23,C_near_approach,-1,1706,car
86.15,01:26,C_near_approach,-1,1740,car
91.28,01:31,C_near_approach,-1,1798,car
98.19,01:38,C_near_approach,-1,1819,truck
106.69,01:46,C_near_approach,1,2078,car
108.55,01:48,C_near_approach,1,2290,car
152.72,02:32,B_left_exit,1,3402,motorcycle
181.64,03:01,B_left_exit,1,3803,motorcycle
200.67,03:20,B_left_exit,1,4148,motorcycle
212.0,03:32,B_left_exit,1,4373,car
246.48,04:06,B_left_exit,1,4924,motorcycle
249.31,04:09,B_left_exit,1,4980,motorcycle
274.86,04:34,C_near_approach,-1,4322,car
278.19,04:38,C_near_approach,-1,4381,car
280.72,04:40,C_near_approach,-1,5242,truck
281.6,04:41,C_near_approach,-1,5231,truck
283.92,04:43,C_near_approach,-1,5291,car
287.45,04:47,C_near_approach,-1,5307,car
290.74,04:50,C_near_approach,-1,5321,car
292.21,04:52,C_near_approach,-1,5320,truck
308.08,05:08,C_near_approach,-1,5356,truck
408.63,06:48,B_left_exit,1,6970,motorcycle
409.26,06:49,B_left_exit,1,6905,motorcycle
411.96,06:51,B_left_exit,1,7188,motorcycle
414.36,06:54,B_left_exit,1,5600,car
425.31,07:05,B_left_exit,1,7312,car
444.04,07:24,B_left_exit,1,7641,motorcycle
474.27,07:54,C_near_approach,-1,7009,car
476.29,07:56,C_near_approach,-1,7221,car
479.03,07:59,C_near_approach,-1,8049,car
481.31,08:01,C_near_approach,-1,8063,car
485.09,08:05,C_near_approach,-1,8066,car
489.18,08:09,C_near_approach,-1,8084,truck
495.2,08:15,C_near_approach,-1,8093,car
508.0,08:28,C_near_approach,1,8245,car
519.07,08:39,C_near_approach,1,8265,car
614.27,10:14,B_left_exit,1,9565,car
616.67,10:16,B_left_exit,1,9531,car
637.98,10:37,B_left_exit,1,10006,motorcycle
674.53,11:14,C_near_approach,-1,9480,car
677.35,11:17,C_near_approach,-1,9786,car
680.67,11:20,C_near_approach,-1,10395,truck
684.21,11:24,C_near_approach,-1,10436,car
687.28,11:27,C_near_approach,-1,10452,car
689.52,11:29,C_near_approach,-1,10465,car
692.0,11:32,C_near_approach,-1,10476,car
694.27,11:34,C_near_approach,-1,10509,car
696.34,11:36,C_near_approach,-1,10530,car
848.08,14:08,B_left_exit,1,12489,motorcycle
851.03,14:11,B_left_exit,1,12607,motorcycle
853.47,14:13,B_left_exit,1,12630,motorcycle
876.72,14:36,C_near_approach,-1,11679,car
880.08,14:40,C_near_approach,-1,12796,car
883.24,14:43,C_near_approach,-1,12817,car
886.02,14:46,C_near_approach,-1,12820,car
894.44,14:54,C_near_approach,-1,12864,truck
896.63,14:56,C_near_approach,-1,12878,car
901.52,15:01,B_left_exit,1,12902,motorcycle
931.66,15:31,B_left_exit,-1,13454,motorcycle
967.24,16:07,B_left_exit,-1,13816,motorcycle
1009.35,16:49,B_left_exit,1,14352,motorcycle
1074.57,17:54,C_near_approach,-1,14279,car
1077.77,17:57,C_near_approach,-1,14569,car
1081.77,18:01,C_near_approach,-1,15245,car
1084.76,18:04,C_near_approach,-1,15253,car
1086.61,18:06,C_near_approach,-1,15258,car
1088.21,18:08,C_near_approach,-1,15278,car
1090.36,18:10,C_near_approach,-1,15280,car
1093.52,18:13,C_near_approach,-1,15292,car
1100.76,18:20,B_left_exit,1,15303,motorcycle
1111.96,18:31,C_near_approach,1,15650,car
1138.95,18:58,C_near_approach,1,15952,car
1174.44,19:34,B_left_exit,1,16714,motorcycle
1176.25,19:36,B_left_exit,1,16753,motorcycle
1176.34,19:36,B_left_exit,1,16758,motorcycle
1192.04,19:52,C_near_approach,-1,16930,car
